Major Heading,Major_Heading_MS,Major_Heading_CN,Major_Heading_VN,Activity Code,MET Value,Activity Description,Activity_Description_MS,Activity_Description_CN,Activity_Description_VN
Running,Berlari,跑步,Chạy bộ,12335,8.8,"Running uphill, 0.6 to 0.79 mph, 30% incline","Lari mendaki bukit, 0.6 hingga 0.79 mph, cerun 30%",上坡跑，0.6 至 0.79 英里/小时，30% 坡度,"Chạy lên dốc, 0.6 – 0.79 mph, độ dốc 30%"
Running,Berlari,跑步,Chạy bộ,12337,10.3,"Running uphill, 0.8 to 0.99 mph, 30% incline","Lari mendaki bukit, 0.8 hingga 0.99 mph, cerun 30%",上坡跑，0.8 至 0.99 英里/小时，30% 坡度,"Chạy lên dốc, 0.8 – 0.99 mph, độ dốc 30%"
Running,Berlari,跑步,Chạy bộ,12339,11.8,"Running uphill, 1.0 to 1.19 mph, 30% incline","Lari mendaki bukit, 1.0 hingga 1.19 mph, cerun 30%",上坡跑，1.0 至 1.19 英里/小时，30% 坡度,"Chạy lên dốc, 1.0 – 1.19 mph, độ dốc 30%"
Running,Berlari,跑步,Chạy bộ,12341,13.5,"Running uphill, 1.2 to 1.39 mph, 30-40% incline","Lari mendaki bukit, 1.2 hingga 1.39 mph, cerun 30-40%",上坡跑，1.2 至 1.39 英里/小时，30-40% 坡度,"Chạy lên dốc, 1.2 – 1.39 mph, độ dốc 30–40%"
Running,Berlari,跑步,Chạy bộ,12343,14.8,"Running uphill, 1.4 to 1.59 mph, 30% incline","Lari mendaki bukit, 1.4 hingga 1.59 mph, cerun 30%",上坡跑，1.4 至 1.59 英里/小时，30% 坡度,"Chạy lên dốc, 1.4 – 1.59 mph, độ dốc 30%"
Running,Berlari,跑步,Chạy bộ,12345,16.3,"Running uphill, >1.6mph, 10-30% incline","Lari mendaki bukit, >1.6 mph, cerun 10-30%",上坡跑，>1.6 英里/小时，10-30% 坡度,"Chạy lên dốc, >1.6 mph, độ dốc 10–30%"
Running,Berlari,跑步,Chạy bộ,12350,16,"Running, hilly terrain, ±100m change in elevation","Lari, kawasan berbukit, perubahan elevasi ±100m",丘陵地跑步，±100 米海拔变化,"Chạy địa hình đồi núi, thay đổi cao độ ±100m"
Running,Berlari,跑步,Chạy bộ,12352,5.8,"Running downhill, 5.0 to 5.9 mph, -10% to -15%","Lari menuruni bukit, 5.0 hingga 5.9 mph, cerun -10% hingga -15%",下坡跑，5.0 至 5.9 英里/小时，-10% 至 -15%,"Chạy xuống dốc, 5.0 – 5.9 mph, -10% đến -15%"
Running,Berlari,跑步,Chạy bộ,12353,7.5,"Running downhill, 6.0 to 6.9 mph, -10% to -15%","Lari menuruni bukit, 6.0 hingga 6.9 mph, cerun -10% hingga -15%",下坡跑，6.0 至 6.9 英里/小时，-10% 至 -15%,"Chạy xuống dốc, 6.0 – 6.9 mph, -10% đến -15%"
Running,Berlari,跑步,Chạy bộ,12355,9,"Running downhill, 7.0 to 8.9 mph, -10% to -15%","Lari menuruni bukit, 7.0 hingga 8.9 mph, cerun -10% hingga -15%",下坡跑，7.0 至 8.9 英里/小时，-10% 至 -15%,"Chạy xuống dốc, 7.0 – 8.9 mph, -10% đến -15%"
Running,Berlari,跑步,Chạy bộ,12358,9.3,"Running downhill, 6.0 to 7.9 mph, -3% to -9%","Lari menuruni bukit, 6.0 hingga 7.9 mph, cerun -3% hingga -9%",下坡跑，6.0 至 7.9 英里/小时，-3% 至 -9%,"Chạy xuống dốc, 6.0 – 7.9 mph, -3% đến -9%"
Running,Berlari,跑步,Chạy bộ,12361,13.8,"Running downhill, 8.0 to 10.5 mph, -3% to -9%","Lari menuruni bukit, 8.0 hingga 10.5 mph, cerun -3% hingga -9%",下坡跑，8.0 至 10.5 英里/小时，-3% 至 -9%,"Chạy xuống dốc, 8.0 – 10.5 mph, -3% đến -9%"
Running,Berlari,跑步,Chạy bộ,12405,5.3,"Running/jogging, curved treadmill, 3.0 to 3.9 mph","Lari/jogging, treadmill melengkung, 3.0 hingga 3.9 mph",跑步/慢跑，弯曲跑步机，3.0 至 3.9 英里/小时,"Chạy bộ/chạy, máy chạy cong, 3.0 – 3.9 mph"
Running,Berlari,跑步,Chạy bộ,12408,6.5,"Running/jogging, curved treadmill, 4.0 to 4.9 mph","Lari/jogging, treadmill melengkung, 4.0 hingga 4.9 mph",跑步/慢跑，弯曲跑步机，4.0 至 4.9 英里/小时,"Chạy bộ/chạy, máy chạy cong, 4.0 – 4.9 mph"
Running,Berlari,跑步,Chạy bộ,12410,11,"Running curved treadmill, 5.0 to 5.9 mph","Lari treadmill melengkung, 5.0 hingga 5.9 mph",跑步，弯曲跑步机，5.0 至 5.9 英里/小时,"Chạy, máy chạy cong, 5.0 – 5.9 mph"
Running,Berlari,跑步,Chạy bộ,12412,12,"Running curved treadmill, 7.0 to 7.9 mph","Lari treadmill melengkung, 7.0 hingga 7.9 mph",跑步，弯曲跑步机，7.0 至 7.9 英里/小时,"Chạy, máy chạy cong, 7.0 – 7.9 mph"
Running,Berlari,跑步,Chạy bộ,12414,14,"Running curved treadmill, 8.0 to 8.9 mph","Lari treadmill melengkung, 8.0 hingga 8.9 mph",跑步，弯曲跑步机，8.0 至 8.9 英里/小时,"Chạy, máy chạy cong, 8.0 – 8.9 mph"
Running,Berlari,跑步,Chạy bộ,12416,16.8,"Running curved treadmill, 9.0 to 9.9 mph","Lari treadmill melengkung, 9.0 hingga 9.9 mph",跑步，弯曲跑步机，9.0 至 9.9 英里/小时,"Chạy, máy chạy cong, 9.0 – 9.9 mph"
Running,Berlari,跑步,Chạy bộ,12508,8.5,"Running, 5.0 - 5.9 mph, 1.0 to 3.0 kg backpack","Lari, 5.0 hingga 5.9 mph, beg galas 1.0 hingga 3.0 kg",跑步，5.0 - 5.9 英里/小时，背 1.0 至 3.0 千克背包,"Chạy, 5.0 – 5.9 mph, mang ba lô 1.0 – 3.0 kg"
Running,Berlari,跑步,Chạy bộ,12510,9.5,"Running, 6.0 - 6.9 mph, 1.0 to 3.0 kg backpack","Lari, 6.0 hingga 6.9 mph, beg galas 1.0 hingga 3.0 kg",跑步，6.0 - 6.9 英里/小时，背 1.0 至 3.0 千克背包,"Chạy, 6.0 – 6.9 mph, mang ba lô 1.0 – 3.0 kg"
Running,Berlari,跑步,Chạy bộ,12512,9.8,"Running, 7.0 - 7.9 mph, 1.0 to 3.0 kg backpack","Lari, 7.0 hingga 7.9 mph, beg galas 1.0 hingga 3.0 kg",跑步，7.0 - 7.9 英里/小时，背 1.0 至 3.0 千克背包,"Chạy, 7.0 – 7.9 mph, mang ba lô 1.0 – 3.0 kg"
Running,Berlari,跑步,Chạy bộ,12514,12,"Running, 8.0 - 8.9 mph, 1.0 to 3.0 kg backpack","Lari, 8.0 hingga 8.9 mph, beg galas 1.0 hingga 3.0 kg",跑步，8.0 - 8.9 英里/小时，背 1.0 至 3.0 千克背包,"Chạy, 8.0 – 8.9 mph, mang ba lô 1.0 – 3.0 kg"
Running,Berlari,跑步,Chạy bộ,12555,7.8,"Running, barefoot, 3.5-5.9 mph","Lari, bertelanjang kaki, 3.5-5.9 mph",赤脚跑步，3.5-5.9 英里/小时,"Chạy chân trần, 3.5 – 5.9 mph"
Running,Berlari,跑步,Chạy bộ,12560,12,"Running, barefoot, 6.0-7.9 mph","Lari, bertelanjang kaki, 6.0-7.9 mph",赤脚跑步，6.0-7.9 英里/小时,"Chạy chân trần, 6.0 – 7.9 mph"
Running,Berlari,跑步,Chạy bộ,12565,13.5,"Running, barefoot, 8.0-8.9 mph","Lari, bertelanjang kaki, 8.0-8.9 mph",赤脚跑步，8.0-8.9 英里/小时,"Chạy chân trần, 8.0 – 8.9 mph"
Running,Berlari,跑步,Chạy bộ,12585,8,"Running, jogging stroller, indoors, 5 mph","Lari, dengan kereta sorong bayi, dalam rumah, 5 mph",跑步，婴儿车慢跑，室内，5 英里/小时,"Chạy, xe đẩy em bé, trong nhà, 5 mph"
Running,Berlari,跑步,Chạy bộ,12588,9,"Running, jogging stroller, indoors, 6 mph","Lari, dengan kereta sorong bayi, dalam rumah, 6 mph",跑步，婴儿车慢跑，室内，6 英里/小时,"Chạy, xe đẩy em bé, trong nhà, 6 mph"
Running,Berlari,跑步,Chạy bộ,12593,10,"Running, jogging stroller, outdoors, 5 mph","Lari, dengan kereta sorong bayi, luar rumah, 5 mph",跑步，婴儿车慢跑，室外，5 英里/小时,"Chạy, xe đẩy em bé, ngoài trời, 5 mph"
Running,Berlari,跑步,Chạy bộ,12595,11.5,"Running, jogging stroller, outdoors, 6 mph","Lari, dengan kereta sorong bayi, luar rumah, 6 mph",跑步，婴儿车慢跑，室外，6 英里/小时,"Chạy, xe đẩy em bé, ngoài trời, 6 mph"
Running,Berlari,跑步,Chạy bộ,12600,11.5,"Skipping, 5.5-6.0 mph","Skipping, 5.5-6.0 mph",跳步跑，5.5-6.0 英里/小时,"Chạy nhảy bước, 5.5 – 6.0 mph"
Running,Berlari,跑步,Chạy bộ,12620,13,"Triathlon, Running","Triathlon, Lari",铁人三项，跑步,"Ba môn phối hợp, chạy"
Sports,Sukan,体育运动,Thể thao,15000,5.5,"Alaska Native Games, Eskimo Olympics, general","Permainan Asli Alaska, Olimpik Eskimo, am",阿拉斯加原住民运动，爱斯基摩奥运会，一般,"Trò chơi Thổ dân Alaska, Olympic Eskimo, tổng quát"
Sports,Sukan,体育运动,Thể thao,15010,4.3,Archery (non-hunting),Memanah (bukan berburu),射箭（非狩猎）,Bắn cung (không săn bắn)
Sports,Sukan,体育运动,Thể thao,15020,7,"Badminton, competitive (Taylor Code 450)","Badminton, kompetitif (Kod Taylor 450)",羽毛球，竞技（Taylor Code 450）,"Cầu lông, thi đấu (Taylor Code 450)"
Sports,Sukan,体育运动,Thể thao,15025,9,"Badminton, competitive, match play","Badminton, kompetitif, perlawanan",羽毛球，竞技，比赛,"Cầu lông, thi đấu, đánh trận"
Sports,Sukan,体育运动,Thể thao,15030,5.5,"Badminton, social singles and doubles, general","Badminton, sosial tunggal dan berganda, am",羽毛球，社交单打和双打，一般,"Cầu lông, đơn và đôi xã giao, tổng quát"
Sports,Sukan,体育运动,Thể thao,15040,8,"Basketball, game (Taylor Code 490)","Bola keranjang, perlawanan (Kod Taylor 490)",篮球，比赛（Taylor Code 490）,"Bóng rổ, trận đấu (Taylor Code 490)"
Sports,Sukan,体育运动,Thể thao,15050,6,"Basketball, non-game, general (Taylor Code 480)","Bola keranjang, bukan perlawanan, am (Kod Taylor 480)",篮球，非比赛，一般（Taylor Code 480）,"Bóng rổ, không thi đấu, tổng quát (Taylor Code 480)"
Sports,Sukan,体育运动,Thể thao,15055,7.5,"Basketball, general","Bola keranjang, am",篮球，一般,"Bóng rổ, tổng quát"
Sports,Sukan,体育运动,Thể thao,15060,7,"Basketball, officiating (Taylor Code 500)","Bola keranjang, pengadil (Kod Taylor 500)",篮球，裁判（Taylor Code 500）,"Bóng rổ, trọng tài (Taylor Code 500)"
Sports,Sukan,体育运动,Thể thao,15062,5.8,"Basketball, officiating","Bola keranjang, pengadil",篮球，裁判,"Bóng rổ, trọng tài"
Sports,Sukan,体育运动,Thể thao,15070,5,"Basketball, shooting baskets","Bola keranjang, menembak ke bakul",篮球，投篮,"Bóng rổ, ném rổ"
Sports,Sukan,体育运动,Thể thao,15072,9.3,"Basketball, drills, practice","Bola keranjang, latihan, drill",篮球，训练，练习,"Bóng rổ, bài tập, luyện tập"
Sports,Sukan,体育运动,Thể thao,15080,2.5,Billiards,Billiard,台球,Bi-a
Sports,Sukan,体育运动,Thể thao,15090,3,Bowling (Taylor Code 390),Bowl (Kod Taylor 390),保龄球（Taylor Code 390）,Bowling (Taylor Code 390)
Sports,Sukan,体育运动,Thể thao,15092,3.8,"Bowling, indoor, bowling alley","Bowl, dalaman, lorong bowling",保龄球，室内，保龄球馆,"Bowling, trong nhà, tại sân bowling"
Sports,Sukan,体育运动,Thể thao,15100,12.3,"Boxing, in ring, general","Tinju, di gelanggang, am",拳击，擂台，一般,"Đấm bốc, trên võ đài, tổng quát"
Sports,Sukan,体育运动,Thể thao,15110,5.8,"Boxing, punching bag","Tinju, beg pukulan",拳击，沙袋训练,"Đấm bốc, tập bao cát"
Sports,Sukan,体育运动,Thể thao,15113,7,"Boxing, punching bag, 60 b/min","Tinju, beg pukulan, 60 pukulan/min",拳击，沙袋训练，60 次/分钟,"Đấm bốc, tập bao cát, 60 lần/phút"
Sports,Sukan,体育运动,Thể thao,15115,8.5,"Boxing, punching bag, 120 b/min","Tinju, beg pukulan, 120 pukulan/min",拳击，沙袋训练，120 次/分钟,"Đấm bốc, tập bao cát, 120 lần/phút"
Sports,Sukan,体育运动,Thể thao,15118,10.8,"Boxing, punching bag, 180 b/min","Tinju, beg pukulan, 180 pukulan/min",拳击，沙袋训练，180 次/分钟,"Đấm bốc, tập bao cát, 180 lần/phút"
Sports,Sukan,体育运动,Thể thao,15120,7.8,"Boxing, sparring","Tinju, sparring",拳击，对打,"Đấm bốc, sparring"
Sports,Sukan,体育运动,Thể thao,15125,9.3,"Boxing, simulated boxing round, exercise","Tinju, pusingan simulasi, senaman",拳击，模拟比赛回合，锻炼,"Đấm bốc, vòng mô phỏng, tập luyện"
Sports,Sukan,体育运动,Thể thao,15130,7,Broomball,Broomball,冰上曲棍球衍生运动,Bóng chổi trên băng (Broomball)
Sports,Sukan,体育运动,Thể thao,15135,5.8,"Children’s games, adults playing  (e.g., hopscotch, 4-square, dodge ball, playground apparatus, t-ball,  tetherball, marbles, jacks,
arcade games), moderate effort","Permainan kanak-kanak, dewasa bermain (contoh: hopscotch, 4-square, dodge ball, peralatan taman permainan, t-ball, tetherball, guli, jacks, permainan arcade), usaha sederhana",儿童游戏，成人参与（如跳房子、四方格、躲避球、操场器械、棒球入门、套圈、弹珠、抓石子、街机游戏），中等强度,"Trò chơi trẻ em, người lớn chơi (ví dụ: nhảy lò cò, 4-square, né bóng, thiết bị sân chơi, t-ball, ném vòng, bi, chuyền đá, trò chơi điện tử), gắng sức vừa phải"
Sports,Sukan,体育运动,Thể thao,15138,6,"Cheerleading, gymnastic moves, competitive","Cheerleading, gerakan gimnastik, kompetitif",啦啦队，体操动作，竞技,"Cổ vũ, động tác thể dục, thi đấu"
Sports,Sukan,体育运动,Thể thao,15140,4,"Coaching, football, soccer, basketball, baseball, swimming, etc.","Latihan, bola sepak, bola keranjang, bola baseball, renang, dll.",教练，橄榄球、足球、篮球、棒球、游泳等,"Huấn luyện, bóng đá, bóng rổ, bóng chày, bơi lội, v.v."
Sports,Sukan,体育运动,Thể thao,15142,8,"Coaching, actively playing sport with players","Latihan, aktif bermain dengan pemain",教练，积极参与与球员一起运动,"Huấn luyện, tham gia tích cực cùng người chơi"
Sports,Sukan,体育运动,Thể thao,15150,4.8,"Cricket, batting, bowling, fielding","Kriket, memukul, melempar, menjaga lapangan",板球，击球、投球、防守,"Cricket, đánh bóng, ném bóng, phòng thủ"
Sports,Sukan,体育运动,Thể thao,15160,3.3,Croquet,Croquet,槌球,Croquet
Sports,Sukan,体育运动,Thể thao,15170,4,Curling,Curling,冰壶,Curling
Sports,Sukan,体育运动,Thể thao,15180,2.5,"Darts, wall or lawn","Dart, dinding atau padang",飞镖，墙面或草地,"Phi tiêu, tường hoặc sân cỏ"
Sports,Sukan,体育运动,Thể thao,15190,6,"Drag racing, pushing or driving a car","Drag racing, menolak atau memandu kereta",直线加速赛，推车或开车,"Đua xe drag, đẩy hoặc lái xe"
Sports,Sukan,体育运动,Thể thao,15192,8.5,"Auto racing, open wheel","Lumba kereta, roda terbuka",汽车比赛，方程式,"Đua xe ô tô, công thức mở"
Sports,Sukan,体育运动,Thể thao,15195,7.8,Futsal,Futsal,室内五人制足球,Futsal
Sports,Sukan,体育运动,Thể thao,15200,6,"Fencing, general","Fencing, am",击剑，一般,"Đấu kiếm, tổng quát"
Sports,Sukan,体育运动,Thể thao,15203,9.8,"Fencing, epee, competitive","Fencing, epee, kompetitif",击剑，重剑，竞技,"Đấu kiếm, kiếm ba cạnh, thi đấu"
Sports,Sukan,体育运动,Thể thao,15205,10.5,Floorball,Floorball,地板球,Floorball
Sports,Sukan,体育运动,Thể thao,15210,8,"Football, competitive","Bola sepak, kompetitif",美式橄榄球，竞技,"Bóng bầu dục Mỹ, thi đấu"
Sports,Sukan,体育运动,Thể thao,15230,8,"Football, touch, flag, general (Taylor Code 510)","Bola sepak, sentuh, bendera, am (Kod Taylor 510)",美式橄榄球，触式，旗式，一般（Taylor Code 510）,"Bóng bầu dục Mỹ, chạm/cờ, tổng quát (Taylor Code 510)"
Sports,Sukan,体育运动,Thể thao,15232,4,"Football, touch, flag, light effort","Bola sepak, sentuh, bendera, usaha ringan",美式橄榄球，触式，旗式，轻强度,"Bóng bầu dục Mỹ, chạm/cờ, nhẹ"
Sports,Sukan,体育运动,Thể thao,15235,2.5,"Football or baseball, playing catch","Bola sepak atau baseball, bermain tangkap",橄榄球或棒球，传接球,"Bóng bầu dục hoặc bóng chày, chuyền bóng"
Sports,Sukan,体育运动,Thể thao,15240,3,"Frisbee playing, general","Bermain Frisbee, am",飞盘游戏，一般,"Chơi đĩa bay, tổng quát"
Sports,Sukan,体育运动,Thể thao,15250,8,"Frisbee, ultimate","Frisbee, ultimate",极限飞盘,"Đĩa bay, ultimate"
Sports,Sukan,体育运动,Thể thao,15252,3.8,Frisbee golf,Frisbee golf,飞盘高尔夫,Golf đĩa bay
Sports,Sukan,体育运动,Thể thao,15255,4.5,"Golf, general","Golf, am",高尔夫，一般,"Golf, tổng quát"
Sports,Sukan,体育运动,Thể thao,15265,4.3,"Golf, walking, carrying clubs","Golf, berjalan, membawa kayu",高尔夫，步行，背球杆,"Golf, đi bộ, mang gậy"
Sports,Sukan,体育运动,Thể thao,15270,3.5,"Golf, miniature, driving range","Golf, mini, driving range",高尔夫，迷你高尔夫，练习场,"Golf, mini golf, sân tập"
Sports,Sukan,体育运动,Thể thao,15285,4.5,"Golf, walking, pulling clubs","Golf, berjalan, menarik kayu",高尔夫，步行，拉球杆,"Golf, đi bộ, kéo gậy"
Sports,Sukan,体育运动,Thể thao,15290,3.5,"Golf, using power cart (Taylor Code 070)","Golf, menggunakan kereta kuasa (Kod Taylor 070)",高尔夫，使用动力球车（Taylor Code 070）,"Golf, xe điện (Taylor Code 070)"
Sports,Sukan,体育运动,Thể thao,15300,3.8,"Gymnastics, general","Gimnastik, am",体操，一般,"Thể dục dụng cụ, tổng quát"
Sports,Sukan,体育运动,Thể thao,15310,4,Hacky sack,Hacky sack,踢毽子,Đá cầu
Sports,Sukan,体育运动,Thể thao,15320,12,"Handball, general (Taylor Code 520)","Handball, am (Kod Taylor 520)",手球，一般（Taylor Code 520）,"Bóng ném, tổng quát (Taylor Code 520)"
Sports,Sukan,体育运动,Thể thao,15330,8,"Handball, team","Handball, pasukan",手球，团队,"Bóng ném, đồng đội"
Sports,Sukan,体育运动,Thể thao,15335,4,"High ropes course, multiple elements","Laluan tali tinggi, pelbagai elemen",高空绳索课程，多种项目,"Leo dây cao, nhiều chướng ngại vật"
Sports,Sukan,体育运动,Thể thao,15340,3.5,Hang gliding,Paralayang,悬挂式滑翔,Dù lượn
Sports,Sukan,体育运动,Thể thao,15350,7.8,"Hockey, field","Hoki, padang",曲棍球，草地,"Khúc côn cầu, sân cỏ"
Sports,Sukan,体育运动,Thể thao,15360,8,"Hockey, ice, general","Hoki, ais, am",曲棍球，冰上，一般,"Khúc côn cầu, trên băng, tổng quát"
Sports,Sukan,体育运动,Thể thao,15362,10,"Hockey, ice, competitive","Hoki, ais, kompetitif",曲棍球，冰上，竞技,"Khúc côn cầu, trên băng, thi đấu"
Sports,Sukan,体育运动,Thể thao,15370,5.5,"Horseback riding, general","Menunggang kuda, am",骑马，一般,"Cưỡi ngựa, tổng quát"
Sports,Sukan,体育运动,Thể thao,15380,4.5,"Horse grooming, maintenance, saddling tasks","Penjagaan kuda, penyelenggaraan, menunggang",马匹梳理、维护、备鞍任务,"Chải lông, chăm sóc, chuẩn bị yên ngựa"
Sports,Sukan,体育运动,Thể thao,15390,5.8,"Horseback riding, trotting","Menunggang kuda, trotting",骑马，小跑,"Cưỡi ngựa, nước kiệu"
Sports,Sukan,体育运动,Thể thao,15395,7.3,"Horseback riding, canter or gallop","Menunggang kuda, canter atau gallop",骑马，慢跑或疾驰,"Cưỡi ngựa, phi nước đại"
Sports,Sukan,体育运动,Thể thao,15400,3.8,"Horseback riding, walking","Menunggang kuda, berjalan",骑马，步行,"Cưỡi ngựa, đi bộ"
Sports,Sukan,体育运动,Thể thao,15402,9,"Horseback riding, jumping","Menunggang kuda, melompat",骑马，跳跃,"Cưỡi ngựa, nhảy"
Sports,Sukan,体育运动,Thể thao,15403,6,"Horseback riding, reining","Menunggang kuda, reining",骑马，驯马表演,"Cưỡi ngựa, reining"
Sports,Sukan,体育运动,Thể thao,15406,2.1,"Horseback riding, simulator","Menunggang kuda, simulator",骑马，模拟器,"Cưỡi ngựa, mô phỏng"
Sports,Sukan,体育运动,Thể thao,15408,1.8,"Horse cart, driving, standing or sitting","Kereta kuda, memandu, berdiri atau duduk",马车，驾驶，站立或坐姿,"Xe ngựa, điều khiển, đứng hoặc ngồi"
Sports,Sukan,体育运动,Thể thao,15410,3,"Horseshoe pitching, quoits","Melempar horseshoe, quoits",掷马蹄铁，圈套,"Ném móng ngựa, trò quoits"
Sports,Sukan,体育运动,Thể thao,15420,12,Jai alai,Jai alai,回力球,Jai alai
Sports,Sukan,体育运动,Thể thao,15425,5.3,"Martial Arts, different types, slower pace, novice performers, practice","Seni Bela Diri, pelbagai jenis, langkah perlahan, pemula, latihan",武术，各类，较慢节奏，初学者，练习,"Võ thuật, các loại, nhịp chậm, người mới, tập luyện"
Sports,Sukan,体育运动,Thể thao,15430,10.3,"Martial Arts, different types, moderate pace (e.g., judo, jujitsu, karate, kick boxing, tae kwon do, tai-bo, Muay Thai boxing)","Seni Bela Diri, pelbagai jenis, langkah sederhana (contoh: judo, jujitsu, karate, kickboxing, tae kwon do, tai-bo, Muay Thai)",武术，各类，中等节奏（如柔道、柔术、空手道、踢拳、跆拳道、泰搏、有氧搏击、泰拳）,"Võ thuật, các loại, nhịp vừa (ví dụ: Judo, Jujitsu, Karate, Kickboxing, Taekwondo, Tai-bo, Muay Thái)"
Sports,Sukan,体育运动,Thể thao,15432,14.3,"Taekwondo, combat simulation","Taekwondo, simulasi pertarungan",跆拳道，模拟对打,"Taekwondo, mô phỏng đối kháng"
Sports,Sukan,体育运动,Thể thao,15433,11.3,Judo,Judo,柔道,Judo
Sports,Sukan,体育运动,Thể thao,15440,4,Juggling,Menjongler,杂耍,Xiếc tung hứng
Sports,Sukan,体育运动,Thể thao,15444,6.5,"Kendo, kihon-keiko style, moderate intensity","Kendo, gaya kihon-keiko, intensiti sederhana",剑道，基本练习风格，中等强度,"Kendo, phong cách kihon-keiko, cường độ vừa"
Sports,Sukan,体育运动,Thể thao,15445,9.6,"Kendo, kirikaeshi style, high intensity","Kendo, gaya kirikaeshi, intensiti tinggi",剑道，切返练习风格，高强度,"Kendo, phong cách kirikaeshi, cường độ cao"
Sports,Sukan,体育运动,Thể thao,15446,11.3,"Kendo, kakari keiko style, very high intensity","Kendo, gaya kakari keiko, intensiti sangat tinggi",剑道，攻击练习风格，非常高强度,"Kendo, phong cách kakari keiko, cường độ rất cao"
Sports,Sukan,体育运动,Thể thao,15450,7,Kickball,Kickball,踢球,Bóng đá bãi
Sports,Sukan,体育运动,Thể thao,15455,5.5,Kung Fu Gymnastics,Kung Fu Gimnastik,功夫体操,Võ thuật Kung Fu kết hợp thể dục
Sports,Sukan,体育运动,Thể thao,15457,7.3,Kickboxing,Kickboxing,踢拳,Kickboxing
Sports,Sukan,体育运动,Thể thao,15460,8,Lacrosse,Lacrosse,长曲棍球,Lacrosse
Sports,Sukan,体育运动,Thể thao,15465,3.3,"Lawn bowling, bocce ball, outdoor","Bola bocce, outdoor",草地滚球，滚球，户外,"Bóng gỗ sân cỏ, bocce ball, ngoài trời"
Sports,Sukan,体育运动,Thể thao,15470,4,"Motocross, off-road motor sports, all-terrain vehicle, general","Motocross, sukan bermotor off-road, kenderaan semua tanah, am",越野摩托车，越野机动运动，全地形车，一般,"Đua mô tô địa hình, xe thể thao đa địa hình, tổng quát"
Sports,Sukan,体育运动,Thể thao,15475,5.3,"Motorcycle racing, Supormoto racing","Lumba motosikal, Supormoto",摩托车比赛，超级摩托比赛,"Đua mô tô, Supormoto"
Sports,Sukan,体育运动,Thể thao,15477,7,Netball,Netball,无挡板篮球,Bóng rổ nữ (Netball)
Sports,Sukan,体育运动,Thể thao,15480,9,Orienteering,Orientering,定向越野,Định hướng địa hình
Sports,Sukan,体育运动,Thể thao,15490,10,"Paddleball, competitive","Paddleball, kompetitif",壁球，竞技,"Paddleball, thi đấu"
Sports,Sukan,体育运动,Thể thao,15500,6,"Paddleball, casual, general (Taylor Code 460)","Paddleball, kasual, am (Kod Taylor 460)",壁球，休闲，一般（Taylor Code 460）,"Paddleball, giải trí, tổng quát (Taylor Code 460)"
Sports,Sukan,体育运动,Thể thao,15503,1.8,"Paragliding, moderate altitude","Paralayang, ketinggian sederhana",滑翔伞，中等高度,"Dù lượn, độ cao vừa"
Sports,Sukan,体育运动,Thể thao,15506,6.5,Prusik climbing,Memanjat Prusik,普鲁西克攀登,Leo dây Prusik
Sports,Sukan,体育运动,Thể thao,15510,8,"Polo, on horseback","Polo, menunggang kuda",马球，骑马,"Polo, cưỡi ngựa"
Sports,Sukan,体育运动,Thể thao,15520,10,"Racquetball, competitive","Racquetball, kompetitif",壁球，竞技,"Racquetball, thi đấu"
Sports,Sukan,体育运动,Thể thao,15525,10.3,"Race Walking, 3.1 m/s (6.9 mph)","Berjalan Lumba, 3.1 m/s (6.9 mph)",竞走，3.1 米/秒（6.9 英里/小时）,"Đi bộ tốc độ, 3.1 m/s (6.9 mph)"
Sports,Sukan,体育运动,Thể thao,15527,13.8,"Race Walking, 3.7 m/s (8.3 mph)","Berjalan Lumba, 3.7 m/s (8.3 mph)",竞走，3.7 米/秒（8.3 英里/小时）,"Đi bộ tốc độ, 3.7 m/s (8.3 mph)"
Sports,Sukan,体育运动,Thể thao,15528,15.5,"Race Walking, racing speed, 4.0 m/s (8.95 mph)","Berjalan Lumba, kelajuan perlawanan, 4.0 m/s (8.95 mph)",竞走，比赛速度，4.0 米/秒（8.95 英里/小时）,"Đi bộ tốc độ, tốc độ đua, 4.0 m/s (8.95 mph)"
Sports,Sukan,体育运动,Thể thao,15530,7,"Racquetball, general (Taylor Code 470)","Racquetball, am (Kod Taylor 470)",壁球，一般（Taylor Code 470）,"Racquetball, tổng quát (Taylor Code 470)"
Sports,Sukan,体育运动,Thể thao,15533,8,"Rock or mountain climbing (Taylor Code 060), (formerly code 17120)","Memanjat batu atau gunung (Kod Taylor 060), (dahulu kod 17120)",岩石或登山攀爬（Taylor Code 060），（原代码 17120）,"Leo núi đá hoặc leo núi (Taylor Code 060), (trước đây là code 17120)"
Sports,Sukan,体育运动,Thể thao,15534,8.8,"Rock climbing, free boulder","Memanjat batu, free boulder",攀岩，自由抱石,"Leo núi, tự do, leo boulder"
Sports,Sukan,体育运动,Thể thao,15535,7.3,"Rock climbing, ascending rock, high difficulty","Mendaki batu, mendaki batu, tahap kesukaran tinggi",攀岩，攀登岩石，高难度,"Leo núi, trèo đá, độ khó cao"
Sports,Sukan,体育运动,Thể thao,15536,10.5,"Rock climbing, speed climbing, very difficult","Mendaki batu, panjat laju, sangat sukar",攀岩，速度攀登，非常困难,"Leo núi, leo tốc độ, rất khó"
